Child iri	Parent iri
:LE_11287	:CM_NoteEncounter
:LE_11288	:CM_NoteEncounter
:LE_11289	:CM_NoteEncounter
:LE_1129	:CM_FilingDocEncounter
:LE_11290	:CM_NoteEncounter
:LE_11291	:CM_NoteEncounter
:LE_11292	:CM_NoteEncounter
:LE_11293	:CM_NoteEncounter
:LE_11294	:CM_NoteEncounter
:LE_11295	:CM_NoteEncounter
:LE_11296	:CM_FilingDocEncounter
:LE_11297	:CM_NoteEncounter
:LE_11298	:CM_NoteEncounter
:LE_11299	:CM_NoteEncounter
:LE_113	:CM_OnPremiseEncounter
:LE_1130	:CM_FilingDocEncounter
:LE_11300	:CM_NoteEncounter
:LE_11301	:CM_NoteEncounter
:LE_11302	:CM_NoteEncounter
:LE_11303	:CM_NoteEncounter
:LE_11304	:CM_NoteEncounter
:LE_11305	:CM_NoteEncounter
:LE_11306	:CM_NoteEncounter
:LE_11307	:CM_NoteEncounter
:LE_11308	:CM_NoteEncounter
:LE_11309	:CM_NoteEncounter
:LE_1131	:CM_FilingDocEncounter
:LE_11310	:CM_NoteEncounter
:LE_11311	:CM_FilingDocEncounter
:LE_11312	:CM_NoteEncounter
:LE_11313	:CM_NoteEncounter
:LE_11314	:CM_NoteEncounter
:LE_11315	:CM_NoteEncounter
:LE_11316	:CM_NoteEncounter
:LE_11317	:CM_NoteEncounter
:LE_11318	:CM_NoteEncounter
:LE_11319	:CM_NoteEncounter
:LE_1132	:CM_FilingDocEncounter
:LE_11320	:CM_NoteEncounter
:LE_11321	:CM_NoteEncounter
:LE_11322	:CM_NoteEncounter
:LE_11323	:CM_NoteEncounter
:LE_11324	:CM_NoteEncounter
:LE_11325	:CM_NoteEncounter
:LE_11326	:CM_NoteEncounter
:LE_11327	:CM_TelephoneConsultation
:LE_11328	:CM_NightVisit
:LE_11329	:CM_NightVisit
:LE_1133	:CM_FilingDocEncounter
:LE_11330	:CM_NightVisit
:LE_11331	:CM_NightVisit
:LE_11332	:CM_NoteEncounter
:LE_11333	:CM_NoteEncounter
:LE_11334	:CM_NoteEncounter
:LE_11335	:CM_NoteEncounter
:LE_11336	:CM_NoteEncounter
:LE_11337	:CM_NoteEncounter
:LE_11338	:CM_NoteEncounter
:LE_11339	:CM_NoteEncounter
:LE_1134	:CM_FilingDocEncounter
:LE_11340	:CM_NoteEncounter
:LE_11341	:CM_NoteEncounter
:LE_11342	:CM_FilingDocEncounter
:LE_11343	:CM_NoteEncounter
:LE_11344	:CM_NoteEncounter
:LE_11345	:CM_NoteEncounter
:LE_11346	:CM_NoteEncounter
:LE_11347	:CM_NoteEncounter
:LE_11348	:CM_NoteEncounter
:LE_11349	:CM_NoteEncounter
:LE_1135	:CM_FilingDocEncounter
:LE_11350	:CM_NoteEncounter
:LE_11351	:CM_NoteEncounter
:LE_11352	:CM_NoteEncounter
:LE_11353	:CM_NoteEncounter
:LE_11354	:CM_NoteEncounter
:LE_11355	:CM_NoteEncounter
:LE_11356	:CM_NoteEncounter
:LE_11357	:CM_NoteEncounter
:LE_11358	:CM_NoteEncounter
:LE_11359	:CM_FilingDocEncounter
:LE_1136	:CM_FilingDocEncounter
:LE_11360	:CM_NoteEncounter
:LE_11361	:CM_NoteEncounter
:LE_11362	:CM_NoteEncounter
:LE_11363	:CM_NoteEncounter
:LE_11364	:CM_NoteEncounter
:LE_11365	:CM_NoteEncounter
:LE_11366	:CM_NoteEncounter
:LE_11367	:CM_NoteEncounter
:LE_11368	:CM_NightVisit
:LE_11369	:CM_NoteEncounter
:LE_1137	:CM_FilingDocEncounter
:LE_11370	:CM_NoteEncounter
:LE_11371	:CM_FilingDocEncounter
:LE_11372	:CM_FilingDocEncounter
:LE_11373	:CM_FilingDocEncounter
:LE_11374	:CM_FilingDocEncounter
:LE_11375	:CM_FilingDocEncounter
:LE_11376	:CM_FilingDocEncounter
:LE_11377	:CM_TelephoneConsultation
:LE_11378	:CM_NoteEncounter
:LE_11379	:CM_NoteEncounter
:LE_1138	:CM_FilingDocEncounter
:LE_11380	:CM_NoteEncounter
:LE_11381	:CM_NoteEncounter
:LE_11382	:CM_FilingDocEncounter
:LE_11383	:CM_NoteEncounter
:LE_11384	:CM_NoteEncounter
:LE_11385	:CM_NoteEncounter
:LE_11386	:CM_NoteEncounter
:LE_11387	:CM_FilingDocEncounter
:LE_11388	:CM_NoteEncounter
:LE_11389	:CM_NoteEncounter
:LE_1139	:CM_FilingDocEncounter
:LE_11390	:CM_NoteEncounter
:LE_11391	:CM_NoteEncounter
:LE_11392	:CM_NoteEncounter
:LE_11393	:CM_NoteEncounter
:LE_11394	:CM_NoteEncounter
:LE_11395	:CM_NoteEncounter
:LE_11396	:CM_FilingDocEncounter
:LE_11397	:CM_NoteEncounter
:LE_11398	:CM_NoteEncounter
:LE_11399	:CM_NoteEncounter
:LE_114	:CM_ThirdPartyTelcon
:LE_1140	:CM_FilingDocEncounter
:LE_11400	:CM_NoteEncounter
:LE_11401	:CM_NoteEncounter
:LE_11402	:CM_FilingDocEncounter
:LE_11403	:CM_FilingDocEncounter
:LE_11404	:CM_FilingDocEncounter
:LE_11405	:CM_FilingDocEncounter
:LE_11406	:CM_GPSurgeryConsultation
:LE_11407	:CM_FilingDocEncounter
:LE_11408	:CM_FilingDocEncounter
:LE_11409	:CM_FilingDocEncounter
:LE_1141	:CM_FilingDocEncounter
:LE_11410	:CM_NightVisit
:LE_11411	:CM_FilingDocEncounter
:LE_11412	:CM_FilingDocEncounter
:LE_11413	:CM_FilingDocEncounter
:LE_11414	:CM_FilingDocEncounter
:LE_11415	:CM_FilingDocEncounter
:LE_11416	:CM_NightVisit
:LE_11417	:CM_FilingDocEncounter
:LE_11418	:CM_TelephoneConsultation
:LE_11419	:CM_NoteEncounter
:LE_1142	:CM_FilingDocEncounter
:LE_11420	:CM_TelephoneConsultation
:LE_11421	:CM_NoteEncounter
:LE_11422	:CM_NoteEncounter
:LE_11423	:CM_TransferOpInp
:LE_11424	:CM_NoteEncounter
:LE_11425	:CM_NoteEncounter
:LE_11426	:CM_FilingDocEncounter
:LE_11427	:CM_FilingDocEncounter
:LE_11428	:CM_FilingDocEncounter
:LE_11429	:CM_NoteEncounter
:LE_1143	:CM_FilingDocEncounter
:LE_11430	:CM_TelephoneConsultation
:LE_11431	:CM_NoteEncounter
:LE_11432	:CM_NoteEncounter
:LE_11433	:CM_FilingDocEncounter
:LE_11434	:CM_NoteEncounter
:LE_11435	:CM_NoteEncounter
:LE_11436	:CM_NoteEncounter
:LE_11437	:CM_NoteEncounter
:LE_11438	:CM_NoteEncounter
:LE_11439	:CM_NoteEncounter
:LE_1144	:CM_FilingDocEncounter
:LE_11440	:CM_NoteEncounter
:LE_11441	:CM_NoteEncounter
:LE_11442	:CM_NoteEncounter
:LE_11443	:CM_NoteEncounter
:LE_11444	:CM_NoteEncounter
:LE_11445	:CM_NoteEncounter
:LE_11446	:CM_NoteEncounter
:LE_11447	:CM_NoteEncounter
:LE_11448	:CM_NoteEncounter
:LE_11449	:CM_NoteEncounter
:LE_1145	:CM_FilingDocEncounter
:LE_11450	:CM_NoteEncounter
:LE_11451	:CM_NoteEncounter
:LE_11452	:CM_NoteEncounter
:LE_11453	:CM_NoteEncounter
:LE_11454	:CM_NoteEncounter
:LE_11455	:CM_NoteEncounter
:LE_11456	:CM_NoteEncounter
:LE_11457	:CM_NoteEncounter
:LE_11458	:CM_NoteEncounter
:LE_11459	:CM_NoteEncounter
:LE_1146	:CM_FilingDocEncounter
:LE_11460	:CM_NoteEncounter
:LE_11461	:CM_NoteEncounter
:LE_11462	:CM_NoteEncounter
:LE_11463	:CM_NoteEncounter
:LE_11464	:CM_FilingDocEncounter
:LE_11465	:CM_NoteEncounter
:LE_11466	:CM_NoteEncounter
:LE_11467	:CM_NoteEncounter
:LE_11468	:CM_FilingDocEncounter
:LE_11469	:CM_NoteEncounter
:LE_1147	:CM_FilingDocEncounter
:LE_11470	:CM_NoteEncounter
:LE_11471	:CM_NoteEncounter
:LE_11472	:CM_FilingDocEncounter
:LE_11473	:CM_NoteEncounter
:LE_11474	:CM_NoteEncounter
:LE_11475	:CM_NoteEncounter
:LE_11476	:CM_NoteEncounter
:LE_11477	:CM_NoteEncounter
:LE_11478	:CM_NoteEncounter
:LE_11479	:CM_NoteEncounter
:LE_1148	:CM_FilingDocEncounter
:LE_11480	:CM_NoteEncounter
:LE_11481	:CM_NoteEncounter
:LE_11482	:CM_NoteEncounter
:LE_11483	:CM_NoteEncounter
:LE_11484	:CM_NoteEncounter
:LE_11485	:CM_NoteEncounter
:LE_11486	:CM_NoteEncounter
:LE_11487	:CM_NoteEncounter
:LE_11488	:CM_NoteEncounter
:LE_11489	:CM_FilingDocEncounter
:LE_1149	:CM_FilingDocEncounter
:LE_11490	:CM_NoteEncounter
:LE_11491	:CM_NoteEncounter
:LE_11492	:CM_NoteEncounter
:LE_11493	:CM_NoteEncounter
:LE_11494	:CM_NoteEncounter
:LE_11495	:CM_NoteEncounter
:LE_11496	:CM_NoteEncounter
:LE_11497	:CM_NoteEncounter
:LE_11498	:CM_FilingDocEncounter
:LE_11499	:CM_FilingDocEncounter
:LE_115	:CM_NoteEncounter
:LE_1150	:CM_FilingDocEncounter
:LE_11500	:CM_NoteEncounter
:LE_11501	:CM_NoteEncounter
:LE_11502	:CM_NoteEncounter
:LE_11503	:CM_NoteEncounter
:LE_11504	:CM_NoteEncounter
:LE_11505	:CM_NoteEncounter
:LE_11506	:CM_NoteEncounter
:LE_11507	:CM_NoteEncounter
:LE_11508	:CM_NoteEncounter
:LE_11509	:CM_NoteEncounter
:LE_1151	:CM_FilingDocEncounter
:LE_11510	:CM_DidNotAttendEncounter
:LE_11511	:CM_NoteEncounter
:LE_11512	:CM_FilingDocEncounter
:LE_11513	:CM_NoteEncounter
:LE_11514	:CM_FilingDocEncounter
:LE_11515	:CM_FilingDocEncounter
:LE_11516	:CM_NoteEncounter
:LE_11517	:CM_NoteEncounter
:LE_11518	:CM_NoteEncounter
:LE_11519	:CM_NoteEncounter
:LE_1152	:CM_FilingDocEncounter
:LE_11520	:CM_NoteEncounter
:LE_11521	:CM_TransferOpInp
:LE_11522	:CM_EndHospEvent
:LE_11523	:CM_NoteEncounter
:LE_11524	:CM_NoteEncounter
:LE_11525	:CM_NoteEncounter
:LE_11526	:CM_NoteEncounter
:LE_11527	:CM_NoteEncounter
:LE_11528	:CM_NoteEncounter
:LE_11529	:CM_NoteEncounter
:LE_1153	:CM_FilingDocEncounter
:LE_11530	:CM_NoteEncounter
:LE_11531	:CM_NoteEncounter
:LE_11532	:CM_NoteEncounter
:LE_11533	:CM_NoteEncounter
:LE_11534	:CM_NoteEncounter
:LE_11535	:CM_NoteEncounter
:LE_11536	:CM_NoteEncounter
:LE_11537	:CM_NoteEncounter
:LE_11538	:CM_NoteEncounter
:LE_11539	:CM_NoteEncounter
:LE_1154	:CM_FilingDocEncounter
:LE_11540	:CM_NoteEncounter
:LE_11541	:CM_NoteEncounter
:LE_11542	:CM_NoteEncounter
:LE_11543	:CM_NoteEncounter
:LE_11544	:CM_NoteEncounter
:LE_11545	:CM_NoteEncounter
:LE_11546	:CM_NoteEncounter
:LE_11547	:CM_NoteEncounter
:LE_11548	:CM_CancelHospEvent
:LE_11549	:CM_NoteEncounter
:LE_1155	:CM_FilingDocEncounter
:LE_11550	:CM_NoteEncounter
:LE_11551	:CM_NightVisit
:LE_11552	:CM_NightVisit
:LE_11553	:CM_NightVisit
:LE_11554	:CM_NoteEncounter
:LE_11555	:CM_NoteEncounter
:LE_11556	:CM_NoteEncounter
:LE_11557	:CM_NoteEncounter
:LE_11558	:CM_NoteEncounter
:LE_11559	:CM_NoteEncounter
:LE_1156	:CM_FilingDocEncounter
:LE_11560	:CM_NoteEncounter
:LE_11561	:CM_NoteEncounter
:LE_11562	:CM_NoteEncounter
:LE_11563	:CM_FilingDocEncounter
:LE_11564	:CM_NoteEncounter
:LE_11565	:CM_NoteEncounter
:LE_11566	:CM_NoteEncounter
:LE_11567	:CM_NoteEncounter
:LE_11568	:CM_NoteEncounter
:LE_11569	:CM_NoteEncounter
:LE_1157	:CM_FilingDocEncounter
:LE_11570	:CM_NoteEncounter
:LE_11571	:CM_NoteEncounter
:LE_11572	:CM_FilingDocEncounter
:LE_11573	:CM_NoteEncounter
:LE_11574	:CM_FilingDocEncounter
:LE_11575	:CM_FilingDocEncounter
:LE_11576	:CM_FilingDocEncounter
:LE_11577	:CM_FilingDocEncounter
:LE_11578	:CM_FilingDocEncounter
:LE_11579	:CM_FilingDocEncounter
:LE_1158	:CM_FilingDocEncounter
:LE_11580	:CM_FilingDocEncounter
:LE_11581	:CM_FilingDocEncounter
:LE_11582	:CM_FilingDocEncounter
:LE_11583	:CM_FilingDocEncounter
:LE_11584	:CM_FilingDocEncounter
:LE_11585	:CM_FilingDocEncounter
:LE_11586	:CM_NoteEncounter
:LE_11587	:CM_NoteEncounter
:LE_11588	:CM_NoteEncounter
:LE_11589	:CM_NoteEncounter
:LE_1159	:CM_FilingDocEncounter
:LE_11590	:CM_NoteEncounter
:LE_11591	:CM_NoteEncounter
:LE_11592	:CM_NoteEncounter
:LE_11593	:CM_NoteEncounter
:LE_11594	:CM_FilingDocEncounter
:LE_11595	:CM_NoteEncounter
:LE_11596	:CM_NoteEncounter
:LE_11597	:CM_NoteEncounter
:LE_11598	:CM_NoteEncounter
:LE_11599	:CM_NoteEncounter
:LE_116	:CM_FilingDocEncounter
:LE_1160	:CM_FilingDocEncounter
:LE_11600	:CM_NoteEncounter
:LE_11601	:CM_NoteEncounter
:LE_11602	:CM_NoteEncounter
:LE_11603	:CM_NoteEncounter
:LE_11604	:CM_NoteEncounter
:LE_11605	:CM_NoteEncounter
:LE_11606	:CM_NoteEncounter
:LE_11607	:CM_NoteEncounter
:LE_11608	:CM_NoteEncounter
:LE_11609	:CM_NoteEncounter
:LE_1161	:CM_FilingDocEncounter
:LE_11610	:CM_NoteEncounter
:LE_11611	:CM_NoteEncounter
:LE_11612	:CM_NoteEncounter
:LE_11613	:CM_NoteEncounter
:LE_11614	:CM_NoteEncounter
:LE_11615	:CM_NoteEncounter
:LE_11616	:CM_NoteEncounter
:LE_11617	:CM_NoteEncounter
:LE_11618	:CM_NoteEncounter
:LE_11619	:CM_NoteEncounter
:LE_1162	:CM_FilingDocEncounter
:LE_11620	:CM_NoteEncounter
:LE_11621	:CM_NoteEncounter
:LE_11622	:CM_NoteEncounter
:LE_11623	:CM_NoteEncounter
:LE_11624	:CM_NoteEncounter
:LE_11625	:CM_NoteEncounter
:LE_11626	:CM_NoteEncounter
:LE_11627	:CM_NoteEncounter
:LE_11628	:CM_NoteEncounter
:LE_11629	:CM_NoteEncounter
:LE_1163	:CM_FilingDocEncounter
:LE_11630	:CM_NoteEncounter
:LE_11631	:CM_NoteEncounter
:LE_11632	:CM_NoteEncounter
:LE_11633	:CM_NoteEncounter
:LE_11634	:CM_NoteEncounter
:LE_11635	:CM_NoteEncounter
:LE_11636	:CM_NoteEncounter
:LE_11637	:CM_NoteEncounter
:LE_11638	:CM_NoteEncounter
:LE_11639	:CM_NoteEncounter
:LE_1164	:CM_FilingDocEncounter
:LE_11640	:CM_NoteEncounter
:LE_11641	:CM_NoteEncounter
:LE_11642	:CM_NoteEncounter
:LE_11643	:CM_NoteEncounter
:LE_11644	:CM_NoteEncounter
:LE_11645	:CM_NoteEncounter
:LE_11646	:CM_NoteEncounter
:LE_11647	:CM_NoteEncounter
:LE_11648	:CM_NoteEncounter
:LE_11649	:CM_NoteEncounter
:LE_1165	:CM_FilingDocEncounter
:LE_11650	:CM_NoteEncounter
:LE_11651	:CM_NoteEncounter
:LE_11652	:CM_NoteEncounter
:LE_11653	:CM_NoteEncounter
:LE_11654	:CM_NoteEncounter
:LE_11655	:CM_NightVisit
:LE_11656	:CM_FilingDocEncounter
:LE_11657	:CM_NoteEncounter
:LE_11658	:CM_NoteEncounter
:LE_11659	:CM_NoteEncounter
:LE_1166	:CM_FilingDocEncounter
:LE_11660	:CM_NoteEncounter
:LE_11661	:CM_NoteEncounter
:LE_11662	:CM_FilingDocEncounter
:LE_11663	:CM_NoteEncounter
:LE_11664	:CM_NoteEncounter
:LE_11665	:CM_NoteEncounter
:LE_11666	:CM_NoteEncounter
:LE_11667	:CM_NoteEncounter
:LE_11668	:CM_NoteEncounter
:LE_11669	:CM_NoteEncounter
:LE_1167	:CM_FilingDocEncounter
:LE_11670	:CM_NoteEncounter
:LE_11671	:CM_NoteEncounter
:LE_11672	:CM_NoteEncounter
:LE_11673	:CM_NoteEncounter
:LE_11674	:CM_FilingDocEncounter
:LE_11675	:CM_NoteEncounter
:LE_11676	:CM_NoteEncounter
:LE_11677	:CM_NoteEncounter
:LE_11678	:CM_NoteEncounter
:LE_11679	:CM_NoteEncounter
:LE_1168	:CM_FilingDocEncounter
:LE_11680	:CM_NoteEncounter
:LE_11681	:CM_NoteEncounter
:LE_11682	:CM_NoteEncounter
:LE_11683	:CM_NoteEncounter
:LE_11684	:CM_NoteEncounter
:LE_11685	:CM_NoteEncounter
:LE_11686	:CM_NoteEncounter
:LE_11687	:CM_FilingDocEncounter
:LE_11688	:CM_NoteEncounter
:LE_11689	:CM_FilingDocEncounter
:LE_1169	:CM_FilingDocEncounter
:LE_11690	:CM_NoteEncounter
:LE_11691	:CM_NoteEncounter
:LE_11692	:CM_NoteEncounter
:LE_11693	:CM_NoteEncounter
:LE_11694	:CM_NoteEncounter
:LE_11695	:CM_NoteEncounter
:LE_11696	:CM_NoteEncounter
:LE_11697	:CM_NoteEncounter
:LE_11698	:CM_NoteEncounter
:LE_11699	:CM_NoteEncounter
:LE_117	:CM_OnPremiseEncounter
:LE_1170	:CM_FilingDocEncounter
:LE_11700	:CM_NoteEncounter
:LE_11701	:CM_NoteEncounter
:LE_11702	:CM_NoteEncounter
:LE_11703	:CM_NoteEncounter
:LE_11704	:CM_NoteEncounter
:LE_11705	:CM_NoteEncounter
:LE_11706	:CM_NoteEncounter
:LE_11707	:CM_NoteEncounter
:LE_11708	:CM_FilingDocEncounter
:LE_11709	:CM_NoteEncounter
:LE_1171	:CM_FilingDocEncounter
:LE_11710	:CM_NoteEncounter
:LE_11711	:CM_FilingDocEncounter
:LE_11712	:CM_NoteEncounter
:LE_11713	:CM_NoteEncounter
:LE_11714	:CM_NoteEncounter
:LE_11715	:CM_NoteEncounter
:LE_11716	:CM_NoteEncounter
:LE_11717	:CM_NoteEncounter
:LE_11718	:CM_NoteEncounter
:LE_11719	:CM_NoteEncounter
:LE_1172	:CM_FilingDocEncounter
:LE_11720	:CM_NoteEncounter
:LE_11721	:CM_NoteEncounter
:LE_11722	:CM_NoteEncounter
:LE_11723	:CM_FilingDocEncounter
:LE_11724	:CM_NoteEncounter
:LE_11725	:CM_NoteEncounter
:LE_11726	:CM_NoteEncounter
:LE_11727	:CM_NoteEncounter
:LE_11728	:CM_NoteEncounter
:LE_11729	:CM_NoteEncounter
:LE_1173	:CM_FilingDocEncounter
:LE_11730	:CM_NoteEncounter
:LE_11731	:CM_NoteEncounter
:LE_11732	:CM_NoteEncounter
:LE_11733	:CM_NoteEncounter
:LE_11734	:CM_NoteEncounter
:LE_11735	:CM_NoteEncounter
:LE_11736	:CM_NoteEncounter
:LE_11737	:CM_NoteEncounter
:LE_11738	:CM_NoteEncounter
:LE_11739	:CM_NoteEncounter
:LE_1174	:CM_FilingDocEncounter
:LE_11740	:CM_NoteEncounter
:LE_11741	:CM_FilingDocEncounter
:LE_11742	:CM_NoteEncounter
:LE_11743	:CM_NoteEncounter
:LE_11744	:CM_NoteEncounter
:LE_11745	:CM_NoteEncounter
:LE_11746	:CM_NoteEncounter
:LE_11747	:CM_NoteEncounter
:LE_11748	:CM_NoteEncounter
:LE_11749	:CM_NoteEncounter
:LE_1175	:CM_FilingDocEncounter
:LE_11750	:CM_NoteEncounter
:LE_11751	:CM_NoteEncounter
:LE_11752	:CM_NoteEncounter
:LE_11753	:CM_FilingDocEncounter
:LE_11754	:CM_NoteEncounter
:LE_11755	:CM_NoteEncounter
:LE_11756	:CM_GPSurgeryConsultation
:LE_11757	:CM_GPSurgeryConsultation
:LE_11758	:CM_GPSurgeryConsultation
:LE_11759	:CM_NoteEncounter
:LE_1176	:CM_FilingDocEncounter
:LE_11760	:CM_NoteEncounter
:LE_11761	:CM_NoteEncounter
:LE_11762	:CM_NoteEncounter
:LE_11763	:CM_FilingDocEncounter
:LE_11764	:CM_FilingDocEncounter
:LE_11765	:CM_NoteEncounter
:LE_11766	:CM_NoteEncounter
:LE_11767	:CM_NoteEncounter
:LE_11768	:CM_NoteEncounter
:LE_11769	:CM_NoteEncounter
:LE_1177	:CM_FilingDocEncounter
:LE_11770	:CM_NoteEncounter
:LE_11771	:CM_NoteEncounter
:LE_11772	:CM_NoteEncounter
:LE_11773	:CM_FilingDocEncounter
:LE_11774	:CM_NoteEncounter
:LE_11775	:CM_FilingDocEncounter
:LE_11776	:CM_FilingDocEncounter
:LE_11777	:CM_NoteEncounter
:LE_11778	:CM_NoteEncounter
:LE_11779	:CM_NoteEncounter
:LE_1178	:CM_FilingDocEncounter
:LE_11780	:CM_FilingDocEncounter
:LE_11781	:CM_NoteEncounter
:LE_11782	:CM_NoteEncounter
:LE_11783	:CM_NoteEncounter
:LE_11784	:CM_NoteEncounter
:LE_11785	:CM_NoteEncounter
:LE_11786	:CM_NoteEncounter
:LE_11787	:CM_NoteEncounter
:LE_11788	:CM_NoteEncounter
:LE_11789	:CM_NoteEncounter
:LE_1179	:CM_FilingDocEncounter
:LE_11790	:CM_NoteEncounter
:LE_11791	:CM_NoteEncounter
:LE_11792	:CM_NoteEncounter
:LE_11793	:CM_NoteEncounter
:LE_11794	:CM_FilingDocEncounter
:LE_11795	:CM_TelephoneConsultation
:LE_11796	:CM_NoteEncounter
:LE_11797	:CM_NoteEncounter
:LE_11798	:CM_NoteEncounter
:LE_11799	:CM_NoteEncounter
:LE_118	:CM_FilingDocEncounter
:LE_1180	:CM_FilingDocEncounter
:LE_11800	:CM_FilingDocEncounter
:LE_11801	:CM_FilingDocEncounter
:LE_11802	:CM_FilingDocEncounter
:LE_11803	:CM_NoteEncounter
:LE_11804	:CM_NoteEncounter
:LE_11805	:CM_NoteEncounter
:LE_11806	:CM_NoteEncounter
:LE_11807	:CM_NoteEncounter
:LE_11808	:CM_NoteEncounter
:LE_11809	:CM_NoteEncounter
:LE_1181	:CM_FilingDocEncounter
:LE_11810	:CM_NoteEncounter
:LE_11811	:CM_NoteEncounter
:LE_11812	:CM_NoteEncounter
:LE_11813	:CM_NoteEncounter
:LE_11814	:CM_NoteEncounter
:LE_11815	:CM_NoteEncounter
:LE_11816	:CM_NoteEncounter
:LE_11817	:CM_NoteEncounter
:LE_11818	:CM_NoteEncounter
:LE_11819	:CM_TelephoneConsultation
:LE_1182	:CM_FilingDocEncounter
:LE_11820	:CM_TelephoneConsultation
:LE_11821	:CM_TelephoneConsultation
:LE_11822	:CM_TelephoneConsultation
:LE_11823	:CM_TelephoneConsultation
:LE_11824	:CM_TelephoneConsultation
:LE_11825	:CM_TelephoneConsultation
:LE_11826	:CM_TelephoneConsultation
:LE_11827	:CM_TelephoneConsultation
:LE_11828	:CM_TelephoneConsultation
:LE_11829	:CM_TelephoneConsultation
:LE_1183	:CM_FilingDocEncounter
:LE_11830	:CM_TelephoneConsultation
:LE_11831	:CM_TelephoneConsultation
:LE_11832	:CM_TelephoneConsultation
:LE_11833	:CM_TelephoneConsultation
:LE_11834	:CM_TelephoneConsultation
:LE_11835	:CM_TelephoneConsultation
:LE_11836	:CM_TelephoneConsultation
:LE_11837	:CM_FilingDocEncounter
:LE_11838	:CM_TelephoneConsultation
:LE_11839	:CM_TelephoneConsultation
:LE_1184	:CM_FilingDocEncounter
:LE_11840	:CM_TelephoneConsultation
:LE_11841	:CM_NoteEncounter
:LE_11842	:CM_FilingDocEncounter
:LE_11843	:CM_NoteEncounter
:LE_11844	:CM_FilingDocEncounter
:LE_11845	:CM_NoteEncounter
:LE_11846	:CM_NoteEncounter
:LE_11847	:CM_NoteEncounter
:LE_11848	:CM_NoteEncounter
:LE_11849	:CM_NoteEncounter
:LE_1185	:CM_FilingDocEncounter
:LE_11850	:CM_NoteEncounter
:LE_11851	:CM_NoteEncounter
:LE_11852	:CM_NoteEncounter
:LE_11853	:CM_NoteEncounter
:LE_11854	:CM_NoteEncounter
:LE_11855	:CM_NoteEncounter
:LE_11856	:CM_NoteEncounter
:LE_11857	:CM_NoteEncounter
:LE_11858	:CM_NoteEncounter
:LE_11859	:CM_NoteEncounter
:LE_1186	:CM_FilingDocEncounter
:LE_11860	:CM_NoteEncounter
:LE_11861	:CM_NoteEncounter
:LE_11862	:CM_NoteEncounter
:LE_11863	:CM_NoteEncounter
:LE_11864	:CM_NoteEncounter
:LE_11865	:CM_NoteEncounter
:LE_11866	:CM_NoteEncounter
:LE_11867	:CM_NoteEncounter
:LE_11868	:CM_NoteEncounter
:LE_11869	:CM_NoteEncounter
:LE_1187	:CM_FilingDocEncounter
:LE_11870	:CM_NoteEncounter
:LE_11871	:CM_NoteEncounter
:LE_11872	:CM_NoteEncounter
:LE_11873	:CM_NoteEncounter
:LE_11874	:CM_NoteEncounter
:LE_11875	:CM_NoteEncounter
:LE_11876	:CM_NoteEncounter
:LE_11877	:CM_NoteEncounter
:LE_11878	:CM_NoteEncounter
:LE_11879	:CM_NoteEncounter
:LE_1188	:CM_FilingDocEncounter
:LE_11880	:CM_NoteEncounter
:LE_11881	:CM_NoteEncounter
:LE_11882	:CM_FilingDocEncounter
:LE_11883	:CM_NoteEncounter
:LE_11884	:CM_NoteEncounter
:LE_11885	:CM_NoteEncounter
:LE_11886	:CM_NoteEncounter
:LE_11887	:CM_NoteEncounter
:LE_11888	:CM_NoteEncounter
:LE_11889	:CM_NoteEncounter
:LE_1189	:CM_FilingDocEncounter
:LE_11890	:CM_NoteEncounter
:LE_11891	:CM_NoteEncounter
:LE_11892	:CM_NoteEncounter
:LE_11893	:CM_NoteEncounter
:LE_11894	:CM_NoteEncounter
:LE_11895	:CM_NoteEncounter
:LE_11896	:CM_NoteEncounter
:LE_11897	:CM_NoteEncounter
:LE_11898	:CM_NoteEncounter
:LE_11899	:CM_NoteEncounter
:LE_119	:CM_UpdateRecordEncounter
:LE_1190	:CM_FilingDocEncounter
:LE_11900	:CM_FilingDocEncounter
:LE_11901	:CM_FilingDocEncounter
:LE_11902	:CM_NoteEncounter
:LE_11903	:CM_NoteEncounter
:LE_11904	:CM_NoteEncounter
:LE_11905	:CM_NoteEncounter
:LE_11906	:CM_NoteEncounter
:LE_11907	:CM_NoteEncounter
:LE_11908	:CM_NoteEncounter
:LE_11909	:CM_NoteEncounter
:LE_1191	:CM_FilingDocEncounter
:LE_11910	:CM_NoteEncounter
:LE_11911	:CM_NoteEncounter
:LE_11912	:CM_NoteEncounter
:LE_11913	:CM_NoteEncounter
:LE_11914	:CM_NoteEncounter
:LE_11915	:CM_NoteEncounter
:LE_11916	:CM_NoteEncounter
:LE_11917	:CM_NoteEncounter
:LE_11918	:CM_NoteEncounter
:LE_11919	:CM_NoteEncounter
:LE_1192	:CM_FilingDocEncounter
:LE_11920	:CM_FilingDocEncounter
:LE_11921	:CM_FilingDocEncounter
:LE_11922	:CM_NoteEncounter
:LE_11923	:CM_NoteEncounter
:LE_11924	:CM_NoteEncounter
:LE_11925	:CM_NoteEncounter
:LE_11926	:CM_NoteEncounter
:LE_11927	:CM_NoteEncounter
:LE_11928	:CM_NoteEncounter
:LE_11929	:CM_NoteEncounter
:LE_1193	:CM_FilingDocEncounter
:LE_11930	:CM_NoteEncounter
:LE_11931	:CM_NoteEncounter
