iri	status	name	description	code	scheme
:LE_11287	im:CM_ActiveStatus	mill bank		LE_11287	:TermBasedCode
:LE_11288	im:CM_ActiveStatus	millgates surgery, hempnall		LE_11288	:TermBasedCode
:LE_11289	im:CM_ActiveStatus	milnthorpe urgent surgery		LE_11289	:TermBasedCode
:LE_1129	im:CM_ActiveStatus	Scanned document 199054		LE_1129	:TermBasedCode
:LE_11290	im:CM_ActiveStatus	milton surgery		LE_11290	:TermBasedCode
:LE_11291	im:CM_ActiveStatus	minor injury unit omp		LE_11291	:TermBasedCode
:LE_11292	im:CM_ActiveStatus	minor operation surgery		LE_11292	:TermBasedCode
:LE_11293	im:CM_ActiveStatus	minor operations session		LE_11293	:TermBasedCode
:LE_11294	im:CM_ActiveStatus	minor ops		LE_11294	:TermBasedCode
:LE_11295	im:CM_ActiveStatus	miss m kelly		LE_11295	:TermBasedCode
:LE_11296	im:CM_ActiveStatus	mk walk in centre		LE_11296	:TermBasedCode
:LE_11297	im:CM_ActiveStatus	monks park surgery		LE_11297	:TermBasedCode
:LE_11298	im:CM_ActiveStatus	moresby surgery		LE_11298	:TermBasedCode
:LE_11299	im:CM_ActiveStatus	morland road surgery		LE_11299	:TermBasedCode
:LE_113	im:CM_ActiveStatus	Nurse Clinic		LE_113	:TermBasedCode
:LE_1130	im:CM_ActiveStatus	Scanned document 27581  scan date 16 Mar 2011		LE_1130	:TermBasedCode
:LE_11300	im:CM_ActiveStatus	mountwood surgery		LE_11300	:TermBasedCode
:LE_11301	im:CM_ActiveStatus	mulgrave road surgery		LE_11301	:TermBasedCode
:LE_11302	im:CM_ActiveStatus	mum called, malika has persistant chesty cough, wants advice plse (msg #37893)		LE_11302	:TermBasedCode
:LE_11303	im:CM_ActiveStatus	n.d.u.c.		LE_11303	:TermBasedCode
:LE_11304	im:CM_ActiveStatus	natwest.		LE_11304	:TermBasedCode
:LE_11305	im:CM_ActiveStatus	nayland drive surgery, surgery		LE_11305	:TermBasedCode
:LE_11306	im:CM_ActiveStatus	nduc attended centre		LE_11306	:TermBasedCode
:LE_11307	im:CM_ActiveStatus	neasden and greenhill park medical centres		LE_11307	:TermBasedCode
:LE_11308	im:CM_ActiveStatus	necton surgery		LE_11308	:TermBasedCode
:LE_11309	im:CM_ActiveStatus	needs med cert. runs out 24/01/2012. (msg #37430)		LE_11309	:TermBasedCode
:LE_1131	im:CM_ActiveStatus	Scanned document 62496  scan date 24 Apr 2012		LE_1131	:TermBasedCode
:LE_11310	im:CM_ActiveStatus	needs med cert/letter for college becuase of lump in wrist, plse call (msg #27705)		LE_11310	:TermBasedCode
:LE_11311	im:CM_ActiveStatus	nems ooh, gp out of hours centre		LE_11311	:TermBasedCode
:LE_11312	im:CM_ActiveStatus	nems platform one upper parliament st branch, surgery		LE_11312	:TermBasedCode
:LE_11313	im:CM_ActiveStatus	nenthead surgery		LE_11313	:TermBasedCode
:LE_11314	im:CM_ActiveStatus	new court surgery		LE_11314	:TermBasedCode
:LE_11315	im:CM_ActiveStatus	new horizons medical partnership		LE_11315	:TermBasedCode
:LE_11316	im:CM_ActiveStatus	new islington medical practice		LE_11316	:TermBasedCode
:LE_11317	im:CM_ActiveStatus	new patient details registration form		LE_11317	:TermBasedCode
:LE_11318	im:CM_ActiveStatus	new patients personal history		LE_11318	:TermBasedCode
:LE_11319	im:CM_ActiveStatus	new registration form		LE_11319	:TermBasedCode
:LE_1132	im:CM_ActiveStatus	Scanned document 6997  scan date 13 Jul 2010		LE_1132	:TermBasedCode
:LE_11320	im:CM_ActiveStatus	new3		LE_11320	:TermBasedCode
:LE_11321	im:CM_ActiveStatus	newbiggin		LE_11321	:TermBasedCode
:LE_11322	im:CM_ActiveStatus	newbury street practice		LE_11322	:TermBasedCode
:LE_11323	im:CM_ActiveStatus	newcastle school for boys, school		LE_11323	:TermBasedCode
:LE_11324	im:CM_ActiveStatus	newham bridge primary school		LE_11324	:TermBasedCode
:LE_11325	im:CM_ActiveStatus	newington, surgery		LE_11325	:TermBasedCode
:LE_11326	im:CM_ActiveStatus	nhsd advise		LE_11326	:TermBasedCode
:LE_11327	im:CM_ActiveStatus	night telephone call		LE_11327	:TermBasedCode
:LE_11328	im:CM_ActiveStatus	night visit (10pm - 8am)		LE_11328	:TermBasedCode
:LE_11329	im:CM_ActiveStatus	night visit (victoria rd)		LE_11329	:TermBasedCode
:LE_1133	im:CM_ActiveStatus	Scanned document 8800  scan date 02 Aug 2010		LE_1133	:TermBasedCode
:LE_11330	im:CM_ActiveStatus	night visit by co-op		LE_11330	:TermBasedCode
:LE_11331	im:CM_ActiveStatus	night visit out of hours		LE_11331	:TermBasedCode
:LE_11332	im:CM_ActiveStatus	no clinical evidene of af		LE_11332	:TermBasedCode
:LE_11333	im:CM_ActiveStatus	no patient contact, administrative entry		LE_11333	:TermBasedCode
:LE_11334	im:CM_ActiveStatus	non - face to face		LE_11334	:TermBasedCode
:LE_11335	im:CM_ActiveStatus	non face to face patient advice		LE_11335	:TermBasedCode
:LE_11336	im:CM_ActiveStatus	non face to face,		LE_11336	:TermBasedCode
:LE_11337	im:CM_ActiveStatus	non patient contact		LE_11337	:TermBasedCode
:LE_11338	im:CM_ActiveStatus	nonamespecified, exam centre		LE_11338	:TermBasedCode
:LE_11339	im:CM_ActiveStatus	nordoc		LE_11339	:TermBasedCode
:LE_1134	im:CM_ActiveStatus	Scanned document 8825  scan date 03 Aug 2010		LE_1134	:TermBasedCode
:LE_11340	im:CM_ActiveStatus	norfolk street surgery		LE_11340	:TermBasedCode
:LE_11341	im:CM_ActiveStatus	north hyde practice		LE_11341	:TermBasedCode
:LE_11342	im:CM_ActiveStatus	north staffordshire hospital nhs trust - us urinary tract		LE_11342	:TermBasedCode
:LE_11343	im:CM_ActiveStatus	north staffs		LE_11343	:TermBasedCode
:LE_11344	im:CM_ActiveStatus	north street surgery		LE_11344	:TermBasedCode
:LE_11345	im:CM_ActiveStatus	north street surgery, home		LE_11345	:TermBasedCode
:LE_11346	im:CM_ActiveStatus	north street surgery, surgery		LE_11346	:TermBasedCode
:LE_11347	im:CM_ActiveStatus	northfields surgery		LE_11347	:TermBasedCode
:LE_11348	im:CM_ActiveStatus	northgate practice		LE_11348	:TermBasedCode
:LE_11349	im:CM_ActiveStatus	northlands wood practice		LE_11349	:TermBasedCode
:LE_1135	im:CM_ActiveStatus	Scanned In Letter		LE_1135	:TermBasedCode
:LE_11350	im:CM_ActiveStatus	northway child health dept		LE_11350	:TermBasedCode
:LE_11351	im:CM_ActiveStatus	norwood medical centre		LE_11351	:TermBasedCode
:LE_11352	im:CM_ActiveStatus	not in use		LE_11352	:TermBasedCode
:LE_11353	im:CM_ActiveStatus	nr re-reg invite ltr sent		LE_11353	:TermBasedCode
:LE_11354	im:CM_ActiveStatus	nurse mentor session		LE_11354	:TermBasedCode
:LE_11355	im:CM_ActiveStatus	nurse visit		LE_11355	:TermBasedCode
:LE_11356	im:CM_ActiveStatus	nythe surgery, surgery		LE_11356	:TermBasedCode
:LE_11357	im:CM_ActiveStatus	oakwood medical centre, surgery		LE_11357	:TermBasedCode
:LE_11358	im:CM_ActiveStatus	obsolete-tel-3rd p		LE_11358	:TermBasedCode
:LE_11359	im:CM_ActiveStatus	obstetrics and gynaecology, southend hospital		LE_11359	:TermBasedCode
:LE_1136	im:CM_ActiveStatus	Scanned Letter		LE_1136	:TermBasedCode
:LE_11360	im:CM_ActiveStatus	odiham and old basing health centres		LE_11360	:TermBasedCode
:LE_11361	im:CM_ActiveStatus	office base, tfrd out - ending care		LE_11361	:TermBasedCode
:LE_11362	im:CM_ActiveStatus	office location		LE_11362	:TermBasedCode
:LE_11363	im:CM_ActiveStatus	office, school staff nurse, central team, thorpe hc		LE_11363	:TermBasedCode
:LE_11364	im:CM_ActiveStatus	office, sn, central team, thorpe health centre		LE_11364	:TermBasedCode
:LE_11365	im:CM_ActiveStatus	old fire station surgery		LE_11365	:TermBasedCode
:LE_11366	im:CM_ActiveStatus	old mill surgery, poringland		LE_11366	:TermBasedCode
:LE_11367	im:CM_ActiveStatus	old swan health centre group practice		LE_11367	:TermBasedCode
:LE_11368	im:CM_ActiveStatus	on call weekend night visit		LE_11368	:TermBasedCode
:LE_11369	im:CM_ActiveStatus	on warfarin		LE_11369	:TermBasedCode
:LE_1137	im:CM_ActiveStatus	School Surgery		LE_1137	:TermBasedCode
:LE_11370	im:CM_ActiveStatus	online review		LE_11370	:TermBasedCode
:LE_11371	im:CM_ActiveStatus	ooh organisation		LE_11371	:TermBasedCode
:LE_11372	im:CM_ActiveStatus	ooh pcc		LE_11372	:TermBasedCode
:LE_11373	im:CM_ActiveStatus	ooh phone advice		LE_11373	:TermBasedCode
:LE_11374	im:CM_ActiveStatus	ooh triage attendance - gms		LE_11374	:TermBasedCode
:LE_11375	im:CM_ActiveStatus	ooh visit - sunday		LE_11375	:TermBasedCode
:LE_11376	im:CM_ActiveStatus	ooh, cirencester		LE_11376	:TermBasedCode
:LE_11377	im:CM_ActiveStatus	oohs telephone		LE_11377	:TermBasedCode
:LE_11378	im:CM_ActiveStatus	op follow up		LE_11378	:TermBasedCode
:LE_11379	im:CM_ActiveStatus	open surgery longton		LE_11379	:TermBasedCode
:LE_1138	im:CM_ActiveStatus	Sea Road Surgery		LE_1138	:TermBasedCode
:LE_11380	im:CM_ActiveStatus	open surgery, poringland		LE_11380	:TermBasedCode
:LE_11381	im:CM_ActiveStatus	opthalmic opticians		LE_11381	:TermBasedCode
:LE_11382	im:CM_ActiveStatus	orsett hospital - msk		LE_11382	:TermBasedCode
:LE_11383	im:CM_ActiveStatus	other - fax		LE_11383	:TermBasedCode
:LE_11384	im:CM_ActiveStatus	other - letter		LE_11384	:TermBasedCode
:LE_11385	im:CM_ActiveStatus	other a  e		LE_11385	:TermBasedCode
:LE_11386	im:CM_ActiveStatus	other agency		LE_11386	:TermBasedCode
:LE_11387	im:CM_ActiveStatus	other hospital - out of area		LE_11387	:TermBasedCode
:LE_11388	im:CM_ActiveStatus	other local authority premises		LE_11388	:TermBasedCode
:LE_11389	im:CM_ActiveStatus	other medical practice		LE_11389	:TermBasedCode
:LE_1139	im:CM_ActiveStatus	Secretarial		LE_1139	:TermBasedCode
:LE_11390	im:CM_ActiveStatus	other nhs		LE_11390	:TermBasedCode
:LE_11391	im:CM_ActiveStatus	other practice - gms		LE_11391	:TermBasedCode
:LE_11392	im:CM_ActiveStatus	other report - mauldeth medical centre		LE_11392	:TermBasedCode
:LE_11393	im:CM_ActiveStatus	other surgery, smear taken at previous surgery		LE_11393	:TermBasedCode
:LE_11394	im:CM_ActiveStatus	other, durham university		LE_11394	:TermBasedCode
:LE_11395	im:CM_ActiveStatus	other, elsewhere		LE_11395	:TermBasedCode
:LE_11396	im:CM_ActiveStatus	other, york hospital		LE_11396	:TermBasedCode
:LE_11397	im:CM_ActiveStatus	out area/not known		LE_11397	:TermBasedCode
:LE_11398	im:CM_ActiveStatus	out of (after) hours visit		LE_11398	:TermBasedCode
:LE_11399	im:CM_ActiveStatus	out of area, outside district, imms given prior to moving into area		LE_11399	:TermBasedCode
:LE_114	im:CM_ActiveStatus	Telephone call from relative/carer		LE_114	:TermBasedCode
:LE_1140	im:CM_ActiveStatus	Sellindge Surgery		LE_1140	:TermBasedCode
:LE_11400	im:CM_ActiveStatus	out of district, outside district		LE_11400	:TermBasedCode
:LE_11401	im:CM_ActiveStatus	out of district, outside district, london		LE_11401	:TermBasedCode
:LE_11402	im:CM_ActiveStatus	out of hours (i b or s h)		LE_11402	:TermBasedCode
:LE_11403	im:CM_ActiveStatus	out of hours (ooh)		LE_11403	:TermBasedCode
:LE_11404	im:CM_ActiveStatus	out of hours (shropdoc)		LE_11404	:TermBasedCode
:LE_11405	im:CM_ActiveStatus	out of hours centre (bones)		LE_11405	:TermBasedCode
:LE_11406	im:CM_ActiveStatus	out of hours centre (g.p.s.c)		LE_11406	:TermBasedCode
:LE_11407	im:CM_ActiveStatus	out of hours emergency surgery		LE_11407	:TermBasedCode
:LE_11408	im:CM_ActiveStatus	out of hours home visit(answering m/c)		LE_11408	:TermBasedCode
:LE_11409	im:CM_ActiveStatus	out of hours hospital		LE_11409	:TermBasedCode
:LE_1141	im:CM_ActiveStatus	Seven Posts Surgery		LE_1141	:TermBasedCode
:LE_11410	im:CM_ActiveStatus	out of hours night visit		LE_11410	:TermBasedCode
:LE_11411	im:CM_ActiveStatus	out of hours other practice		LE_11411	:TermBasedCode
:LE_11412	im:CM_ActiveStatus	out of hours pcc consultation		LE_11412	:TermBasedCode
:LE_11413	im:CM_ActiveStatus	out of hours surgery (o.s.)		LE_11413	:TermBasedCode
:LE_11414	im:CM_ActiveStatus	out of hours visit (ooh provider)		LE_11414	:TermBasedCode
:LE_11415	im:CM_ActiveStatus	out of hours visits		LE_11415	:TermBasedCode
:LE_11416	im:CM_ActiveStatus	out of hours,not a night visit		LE_11416	:TermBasedCode
:LE_11417	im:CM_ActiveStatus	out of hours- home visit		LE_11417	:TermBasedCode
:LE_11418	im:CM_ActiveStatus	out of hours-telephone		LE_11418	:TermBasedCode
:LE_11419	im:CM_ActiveStatus	out-of-hours centre		LE_11419	:TermBasedCode
:LE_1142	im:CM_ActiveStatus	Seymour Medical Centre		LE_1142	:TermBasedCode
:LE_11420	im:CM_ActiveStatus	out-of-hours telephone		LE_11420	:TermBasedCode
:LE_11421	im:CM_ActiveStatus	out-patient		LE_11421	:TermBasedCode
:LE_11422	im:CM_ActiveStatus	outhours 6:00-10:00pm**8:00-9:00am		LE_11422	:TermBasedCode
:LE_11423	im:CM_ActiveStatus	outpatient change an outpatient to an inpatient (inpatient)		LE_11423	:TermBasedCode
:LE_11424	im:CM_ActiveStatus	outpatient referral delete a patient record (outpatient)		LE_11424	:TermBasedCode
:LE_11425	im:CM_ActiveStatus	outpatient transfer a patient (inpatient)		LE_11425	:TermBasedCode
:LE_11426	im:CM_ActiveStatus	outpatient trust 1/7		LE_11426	:TermBasedCode
:LE_11427	im:CM_ActiveStatus	outpatient trust 1/8		LE_11427	:TermBasedCode
:LE_11428	im:CM_ActiveStatus	outpatient trust 5/3		LE_11428	:TermBasedCode
:LE_11429	im:CM_ActiveStatus	oval road practice		LE_11429	:TermBasedCode
:LE_1143	im:CM_ActiveStatus	Shadsworth Surgery		LE_1143	:TermBasedCode
:LE_11430	im:CM_ActiveStatus	oxems telephone advice		LE_11430	:TermBasedCode
:LE_11431	im:CM_ActiveStatus	oxshott medical practice		LE_11431	:TermBasedCode
:LE_11432	im:CM_ActiveStatus	p.c.c. appointment		LE_11432	:TermBasedCode
:LE_11433	im:CM_ActiveStatus	p.c.c. base out of hours		LE_11433	:TermBasedCode
:LE_11434	im:CM_ActiveStatus	p/r surgery		LE_11434	:TermBasedCode
:LE_11435	im:CM_ActiveStatus	paediatric, chester le street		LE_11435	:TermBasedCode
:LE_11436	im:CM_ActiveStatus	pah - accident and emergency		LE_11436	:TermBasedCode
:LE_11437	im:CM_ActiveStatus	pah - emergency assessment unit		LE_11437	:TermBasedCode
:LE_11438	im:CM_ActiveStatus	pallion family practice		LE_11438	:TermBasedCode
:LE_11439	im:CM_ActiveStatus	parishes bridge med.pract		LE_11439	:TermBasedCode
:LE_1144	im:CM_ActiveStatus	Shawbirch Medical Practice		LE_1144	:TermBasedCode
:LE_11440	im:CM_ActiveStatus	park house surgery		LE_11440	:TermBasedCode
:LE_11441	im:CM_ActiveStatus	park view group practice		LE_11441	:TermBasedCode
:LE_11442	im:CM_ActiveStatus	parkside medical centre, springfield park avenue		LE_11442	:TermBasedCode
:LE_11443	im:CM_ActiveStatus	parkview clinic		LE_11443	:TermBasedCode
:LE_11444	im:CM_ActiveStatus	parliament hill medical centre		LE_11444	:TermBasedCode
:LE_11445	im:CM_ActiveStatus	parsons heath medical centre		LE_11445	:TermBasedCode
:LE_11446	im:CM_ActiveStatus	partington family practice		LE_11446	:TermBasedCode
:LE_11447	im:CM_ActiveStatus	partner locum		LE_11447	:TermBasedCode
:LE_11448	im:CM_ActiveStatus	path. labradiology		LE_11448	:TermBasedCode
:LE_11449	im:CM_ActiveStatus	pathology result (preston)		LE_11449	:TermBasedCode
:LE_1145	im:CM_ActiveStatus	Shenley Surgery		LE_1145	:TermBasedCode
:LE_11450	im:CM_ActiveStatus	patient d.n.a.		LE_11450	:TermBasedCode
:LE_11451	im:CM_ActiveStatus	patient not had flu vaccine		LE_11451	:TermBasedCode
:LE_11452	im:CM_ActiveStatus	patient questionnaire administration		LE_11452	:TermBasedCode
:LE_11453	im:CM_ActiveStatus	patient related activity		LE_11453	:TermBasedCode
:LE_11454	im:CM_ActiveStatus	patient request letter		LE_11454	:TermBasedCode
:LE_11455	im:CM_ActiveStatus	patrington g p surgery		LE_11455	:TermBasedCode
:LE_11456	im:CM_ActiveStatus	pcc consultation		LE_11456	:TermBasedCode
:LE_11457	im:CM_ActiveStatus	pcc spalding		LE_11457	:TermBasedCode
:LE_11458	im:CM_ActiveStatus	pcec (lud/shrew)		LE_11458	:TermBasedCode
:LE_11459	im:CM_ActiveStatus	pdoc		LE_11459	:TermBasedCode
:LE_1146	im:CM_ActiveStatus	Shoreditch Park Surgery		LE_1146	:TermBasedCode
:LE_11460	im:CM_ActiveStatus	pds update		LE_11460	:TermBasedCode
:LE_11461	im:CM_ActiveStatus	peel precinct surgery		LE_11461	:TermBasedCode
:LE_11462	im:CM_ActiveStatus	penn manor medical practice		LE_11462	:TermBasedCode
:LE_11463	im:CM_ActiveStatus	personal history card		LE_11463	:TermBasedCode
:LE_11464	im:CM_ActiveStatus	peterborough district hospital		LE_11464	:TermBasedCode
:LE_11465	im:CM_ActiveStatus	peterlee ucc - cdpct		LE_11465	:TermBasedCode
:LE_11466	im:CM_ActiveStatus	petersgate medical centre		LE_11466	:TermBasedCode
:LE_11467	im:CM_ActiveStatus	pharmacy 1st		LE_11467	:TermBasedCode
:LE_11468	im:CM_ActiveStatus	pharmacy, southend hospital		LE_11468	:TermBasedCode
:LE_11469	im:CM_ActiveStatus	phoenix health group		LE_11469	:TermBasedCode
:LE_1147	im:CM_ActiveStatus	Shotley Surgery		LE_1147	:TermBasedCode
:LE_11470	im:CM_ActiveStatus	physiotherapy appointment (msg #4116)		LE_11470	:TermBasedCode
:LE_11471	im:CM_ActiveStatus	pier university, surgery		LE_11471	:TermBasedCode
:LE_11472	im:CM_ActiveStatus	place not specified - harmoni - out of hours		LE_11472	:TermBasedCode
:LE_11473	im:CM_ActiveStatus	please call thinks he has uti (msg #39443)		LE_11473	:TermBasedCode
:LE_11474	im:CM_ActiveStatus	plse call sister margaret, worried re pts drug/alcohol intake (msg #27936)		LE_11474	:TermBasedCode
:LE_11475	im:CM_ActiveStatus	pm session		LE_11475	:TermBasedCode
:LE_11476	im:CM_ActiveStatus	pod asst fu pat supp con		LE_11476	:TermBasedCode
:LE_11477	im:CM_ActiveStatus	pod fu clin con		LE_11477	:TermBasedCode
:LE_11478	im:CM_ActiveStatus	pod fu pat supp con		LE_11478	:TermBasedCode
:LE_11479	im:CM_ActiveStatus	polden medical practice		LE_11479	:TermBasedCode
:LE_1148	im:CM_ActiveStatus	SINNOTT ROAD SURGERY		LE_1148	:TermBasedCode
:LE_11480	im:CM_ActiveStatus	police		LE_11480	:TermBasedCode
:LE_11481	im:CM_ActiveStatus	poplar primary care centre		LE_11481	:TermBasedCode
:LE_11482	im:CM_ActiveStatus	portishead medical group		LE_11482	:TermBasedCode
:LE_11483	im:CM_ActiveStatus	poverest medical centre		LE_11483	:TermBasedCode
:LE_11484	im:CM_ActiveStatus	practice baby clinic		LE_11484	:TermBasedCode
:LE_11485	im:CM_ActiveStatus	practice message		LE_11485	:TermBasedCode
:LE_11486	im:CM_ActiveStatus	practice nurses clinic		LE_11486	:TermBasedCode
:LE_11487	im:CM_ActiveStatus	pre-registration data		LE_11487	:TermBasedCode
:LE_11488	im:CM_ActiveStatus	prescrption request (msg #2620)		LE_11488	:TermBasedCode
:LE_11489	im:CM_ActiveStatus	primary care centre ealing hospital		LE_11489	:TermBasedCode
:LE_1149	im:CM_ActiveStatus	Sir Ludwig Guttmann Health Centre		LE_1149	:TermBasedCode
:LE_11490	im:CM_ActiveStatus	primary care facility		LE_11490	:TermBasedCode
:LE_11491	im:CM_ActiveStatus	primary care surgery - consultation		LE_11491	:TermBasedCode
:LE_11492	im:CM_ActiveStatus	primary health care centre [tcn]		LE_11492	:TermBasedCode
:LE_11493	im:CM_ActiveStatus	primary tuberculous infection		LE_11493	:TermBasedCode
:LE_11494	im:CM_ActiveStatus	prince of wales medical centre		LE_11494	:TermBasedCode
:LE_11495	im:CM_ActiveStatus	princes gardens surgery		LE_11495	:TermBasedCode
:LE_11496	im:CM_ActiveStatus	princes park health centre		LE_11496	:TermBasedCode
:LE_11497	im:CM_ActiveStatus	private clinics		LE_11497	:TermBasedCode
:LE_11498	im:CM_ActiveStatus	private hospitals - marchwood priory private hospital		LE_11498	:TermBasedCode
:LE_11499	im:CM_ActiveStatus	private hospitals / sarum road hospital / obstetrics  gynaecology		LE_11499	:TermBasedCode
:LE_115	im:CM_ActiveStatus	Emergency Request		LE_115	:TermBasedCode
:LE_1150	im:CM_ActiveStatus	Skelmanthorpe H.C.		LE_1150	:TermBasedCode
:LE_11500	im:CM_ActiveStatus	private med. ins. exam		LE_11500	:TermBasedCode
:LE_11501	im:CM_ActiveStatus	private medical		LE_11501	:TermBasedCode
:LE_11502	im:CM_ActiveStatus	private referral- gynaecology		LE_11502	:TermBasedCode
:LE_11503	im:CM_ActiveStatus	private referral-orthopaedics		LE_11503	:TermBasedCode
:LE_11504	im:CM_ActiveStatus	private referral-psychology		LE_11504	:TermBasedCode
:LE_11505	im:CM_ActiveStatus	professional liaison		LE_11505	:TermBasedCode
:LE_11506	im:CM_ActiveStatus	prospect house surgery		LE_11506	:TermBasedCode
:LE_11507	im:CM_ActiveStatus	pt 1st clin con		LE_11507	:TermBasedCode
:LE_11508	im:CM_ActiveStatus	pt fu pat supp con		LE_11508	:TermBasedCode
:LE_11509	im:CM_ActiveStatus	pulmonary rehab assessment		LE_11509	:TermBasedCode
:LE_1151	im:CM_ActiveStatus	Somerford Grove Practice		LE_1151	:TermBasedCode
:LE_11510	im:CM_ActiveStatus	pulmonary rehab dna - group appointment		LE_11510	:TermBasedCode
:LE_11511	im:CM_ActiveStatus	pulmonary rehab group		LE_11511	:TermBasedCode
:LE_11512	im:CM_ActiveStatus	qeii hospital		LE_11512	:TermBasedCode
:LE_11513	im:CM_ActiveStatus	quayside medical practice		LE_11513	:TermBasedCode
:LE_11514	im:CM_ActiveStatus	queen alexandra hospital		LE_11514	:TermBasedCode
:LE_11515	im:CM_ActiveStatus	queen victoria hospital - sleep studies		LE_11515	:TermBasedCode
:LE_11516	im:CM_ActiveStatus	queenborough school and nursery		LE_11516	:TermBasedCode
:LE_11517	im:CM_ActiveStatus	queensway medical centre		LE_11517	:TermBasedCode
:LE_11518	im:CM_ActiveStatus	r. v. c.		LE_11518	:TermBasedCode
:LE_11519	im:CM_ActiveStatus	r.a. butler infants		LE_11519	:TermBasedCode
:LE_1152	im:CM_ActiveStatus	Sorsby Medical Practice		LE_1152	:TermBasedCode
:LE_11520	im:CM_ActiveStatus	r.e.d.s - attendance at centre		LE_11520	:TermBasedCode
:LE_11521	im:CM_ActiveStatus	radiology referral wait list change an outpatient to an inpatient (inpatient)		LE_11521	:TermBasedCode
:LE_11522	im:CM_ActiveStatus	radiology referral wait list discharge/end visit (other)		LE_11522	:TermBasedCode
:LE_11523	im:CM_ActiveStatus	radnor house surgery and ascot medical centre		LE_11523	:TermBasedCode
:LE_11524	im:CM_ActiveStatus	rainbow practice		LE_11524	:TermBasedCode
:LE_11525	im:CM_ActiveStatus	rde (wonford)		LE_11525	:TermBasedCode
:LE_11526	im:CM_ActiveStatus	re physio (msg #4751)		LE_11526	:TermBasedCode
:LE_11527	im:CM_ActiveStatus	re private referral concerned re test result (msg #9845)		LE_11527	:TermBasedCode
:LE_11528	im:CM_ActiveStatus	re-reg check needed-moved to nr		LE_11528	:TermBasedCode
:LE_11529	im:CM_ActiveStatus	re: cystoscopy follow up overdue (msg #32694)		LE_11529	:TermBasedCode
:LE_1153	im:CM_ActiveStatus	South Cerney		LE_1153	:TermBasedCode
:LE_11530	im:CM_ActiveStatus	re: for information... (msg #49197)		LE_11530	:TermBasedCode
:LE_11531	im:CM_ActiveStatus	re: mum called, son has cough and rash, plse call to advise (msg #34038)		LE_11531	:TermBasedCode
:LE_11532	im:CM_ActiveStatus	re: needs med cert. runs out 24/01/2012. (msg #37495)		LE_11532	:TermBasedCode
:LE_11533	im:CM_ActiveStatus	re: pt would like to discuss numbness in face with you please (msg #17699)		LE_11533	:TermBasedCode
:LE_11534	im:CM_ActiveStatus	re: received your letter, says she does still live at claremont square, (msg #22914)		LE_11534	:TermBasedCode
:LE_11535	im:CM_ActiveStatus	re: wanted to see you before the 20th but no appointments (msg #29419)		LE_11535	:TermBasedCode
:LE_11536	im:CM_ActiveStatus	re: you wanted to see him in a week but no appointments (msg #27582)		LE_11536	:TermBasedCode
:LE_11537	im:CM_ActiveStatus	recep. l farrelly		LE_11537	:TermBasedCode
:LE_11538	im:CM_ActiveStatus	recep. p herd		LE_11538	:TermBasedCode
:LE_11539	im:CM_ActiveStatus	reception desk		LE_11539	:TermBasedCode
:LE_1154	im:CM_ActiveStatus	South Chailey Surgery		LE_1154	:TermBasedCode
:LE_11540	im:CM_ActiveStatus	reception staff		LE_11540	:TermBasedCode
:LE_11541	im:CM_ActiveStatus	records received at cca tendring south hv team.		LE_11541	:TermBasedCode
:LE_11542	im:CM_ActiveStatus	records received at cca, tendring south hv team.		LE_11542	:TermBasedCode
:LE_11543	im:CM_ActiveStatus	rectory lane clinic, school		LE_11543	:TermBasedCode
:LE_11544	im:CM_ActiveStatus	red box		LE_11544	:TermBasedCode
:LE_11545	im:CM_ActiveStatus	refer in at req hv		LE_11545	:TermBasedCode
:LE_11546	im:CM_ActiveStatus	refer to physio mt alvernia		LE_11546	:TermBasedCode
:LE_11547	im:CM_ActiveStatus	referral to children`s physio in jan (msg #14066)		LE_11547	:TermBasedCode
:LE_11548	im:CM_ActiveStatus	regular day admission cancel discharge/end visit (waitinglist)		LE_11548	:TermBasedCode
:LE_11549	im:CM_ActiveStatus	regular day admission delete a patient record (waitinglist)		LE_11549	:TermBasedCode
:LE_1155	im:CM_ActiveStatus	Southmead		LE_1155	:TermBasedCode
:LE_11550	im:CM_ActiveStatus	regular day admission register a patient (other)		LE_11550	:TermBasedCode
:LE_11551	im:CM_ActiveStatus	regular night admission delete a patient record (other)		LE_11551	:TermBasedCode
:LE_11552	im:CM_ActiveStatus	regular night admission transfer a patient (other)		LE_11552	:TermBasedCode
:LE_11553	im:CM_ActiveStatus	regular night admission update patient information (other)		LE_11553	:TermBasedCode
:LE_11554	im:CM_ActiveStatus	reminder		LE_11554	:TermBasedCode
:LE_11555	im:CM_ActiveStatus	rendcomb surgery		LE_11555	:TermBasedCode
:LE_11556	im:CM_ActiveStatus	request for consultation / visit		LE_11556	:TermBasedCode
:LE_11557	im:CM_ActiveStatus	request for script		LE_11557	:TermBasedCode
:LE_11558	im:CM_ActiveStatus	residential care/nursing home visit		LE_11558	:TermBasedCode
:LE_11559	im:CM_ActiveStatus	residential old peoples home		LE_11559	:TermBasedCode
:LE_1156	im:CM_ActiveStatus	Southville Surgery		LE_1156	:TermBasedCode
:LE_11560	im:CM_ActiveStatus	rethink - healthy minds network		LE_11560	:TermBasedCode
:LE_11561	im:CM_ActiveStatus	revisit(patient request)		LE_11561	:TermBasedCode
:LE_11562	im:CM_ActiveStatus	ringmead medical practice		LE_11562	:TermBasedCode
