Concept	Group	Property	Object	min	max	Group operator
:LE_11854	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_11855	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_11856	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_11857	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_11858	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_11859	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_1186	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_11860	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_11861	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_11862	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_11863	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_11864	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_11865	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_11866	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_11867	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_11868	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_11869	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_1187	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_11870	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_11871	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_11872	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_11873	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_11874	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_11875	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_11876	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_11877	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_11878	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_11879	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_1188	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_11880	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_11881	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_11882	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_11883	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_11884	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_11885	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_11886	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_11887	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_11888	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_11889	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_1189	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_11890	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_11891	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_11892	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_11893	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_11894	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_11895	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_11896	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_11897	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_11898	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_11899	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_119	0	im:SN_116680003	:CM_UpdateRecordEncounter			and
:LE_1190	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_11900	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_11901	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_11902	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_11903	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_11904	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_11905	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_11906	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_11907	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_11908	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_11909	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_1191	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_11910	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_11911	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_11912	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_11913	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_11914	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_11915	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_11916	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_11917	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_11918	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_11919	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_1192	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_11920	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_11921	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_11922	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_11923	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_11924	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_11925	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_11926	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_11927	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_11928	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_11929	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_1193	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_11930	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_11931	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_11932	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_11933	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_11934	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_11935	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_11936	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_11937	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_11938	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_11939	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_1194	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_11940	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_11941	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_11942	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_11943	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_11944	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_11945	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_11946	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_11947	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_11948	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_11949	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_1195	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_11950	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_11951	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_11952	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_11953	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_11954	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_11955	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_11956	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_11957	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_11958	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_11959	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_1196	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_11960	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_11961	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_11962	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_11963	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_11964	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_11965	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_11966	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_11967	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_11968	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_11969	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_1197	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_11970	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_11971	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_11972	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_11973	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_11974	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_11975	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_11976	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_11977	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_11978	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_11979	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_1198	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_11980	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_11981	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_11982	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_11983	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_11984	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_11985	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_11986	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_11987	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_11988	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_11989	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_1199	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_11990	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_11991	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_11992	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_11993	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_11994	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_11995	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_11996	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_11997	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_11998	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_11999	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_12	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_120	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_1200	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_12000	0	im:SN_116680003	:CM_TelephoneConsultation			and
:LE_12001	0	im:SN_116680003	:CM_TelephoneConsultation			and
:LE_12002	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_12003	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_12004	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_12005	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_12006	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_12007	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_12008	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_12009	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_1201	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_12010	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_12011	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_12012	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_12013	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_12014	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_12015	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_12016	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_12017	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_12018	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_12019	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_1202	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_12020	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_12021	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_12022	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_12023	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_12024	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_12025	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_12026	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_12027	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_12028	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_12029	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_1203	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_12030	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_12031	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_12032	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_12033	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_12034	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_12035	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_12036	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_12037	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_12038	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_12039	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_1204	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_12040	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_12041	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_12042	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_12043	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_12044	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_12045	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_12046	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_12047	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_12048	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_12049	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_1205	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_12050	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_12051	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_12052	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_12053	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_12054	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_12055	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_12056	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_12057	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_12058	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_12059	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_1206	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_12060	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_12061	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_12062	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_12063	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_12064	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_12065	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_12066	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_12067	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_12068	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_12069	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_1207	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_12070	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_12071	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_12072	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_12073	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_12074	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_12075	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_12076	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_12077	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_12078	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_12079	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_1208	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_1209	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_121	0	im:SN_116680003	:CM_AdministrativeEntry			and
:LE_1210	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_1211	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_1212	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_1213	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_1214	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_1215	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_1216	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_1217	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_1218	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_1219	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_122	0	im:SN_116680003	:CM_OnPremiseEncounter			and
:LE_1220	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_1221	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_1222	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_1223	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_1224	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_1225	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_1226	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_1227	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_1228	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_1229	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_123	0	im:SN_116680003	:CM_OnPremiseEncounter			and
:LE_1230	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_1231	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_1232	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_1233	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_1234	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_1235	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_1236	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_1237	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_1238	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_1239	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_124	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_1240	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_1241	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_1242	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_1243	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_1244	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_1245	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_1246	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_1247	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_1248	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_1249	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_125	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_1250	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_1251	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_1252	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_1253	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_1254	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_1255	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_1256	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_1257	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_1258	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_1259	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_126	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_1260	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_1261	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_1262	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_1263	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_1264	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_1265	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_1266	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_1267	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_1268	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_1269	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_127	0	im:SN_116680003	:CM_TelephoneTriage			and
:LE_1270	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_1271	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_1272	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_1273	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_1274	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_1275	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_1276	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_1277	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_1278	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_1279	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_128	0	im:SN_116680003	:CM_EndHospEvent			and
:LE_1280	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_1281	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_1282	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_1283	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_1284	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_1285	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_1286	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_1287	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_1288	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_1289	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_129	0	im:SN_116680003	:CM_TelephoneTriage			and
:LE_1290	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_1291	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_1292	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_1293	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_1294	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_1295	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_1296	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_1297	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_1298	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_1299	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_13	0	im:SN_116680003	:CM_TelephoneConsultation			and
:LE_130	0	im:SN_116680003	:CM_OnPremiseEncounter			and
:LE_1300	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_1301	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_1302	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_1303	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_1304	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_1305	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_1306	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_1307	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_1308	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_1309	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_131	0	im:SN_116680003	:CM_OnPremiseEncounter			and
:LE_1310	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_1311	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_1312	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_1313	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_1314	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_1315	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_1316	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_1317	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_1318	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_1319	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_132	0	im:SN_116680003	:CM_EndHospEvent			and
:LE_1320	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_1321	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_1322	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_1323	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_1324	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_1325	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_1326	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_1327	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_1328	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_1329	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_133	0	im:SN_116680003	:CM_MailToPatientEncounter			and
:LE_1330	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_1331	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_1332	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_1333	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_1334	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_1335	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_1336	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_1337	0	im:SN_116680003	:CM_NoteEncounter			and
:LE_1338	0	im:SN_116680003	:CM_GPSurgeryConsultation			and
:LE_1339	0	im:SN_116680003	:CM_GPSurgeryConsultation			and
:LE_134	0	im:SN_116680003	:CM_GPSurgeryConsultation			and
:LE_1340	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_1341	0	im:SN_116680003	:CM_OnPremiseEncounter			and
:LE_1342	0	im:SN_116680003	:CM_OnPremiseEncounter			and
:LE_1343	0	im:SN_116680003	:CM_OnPremiseEncounter			and
:LE_1344	0	im:SN_116680003	:CM_GPSurgeryConsultation			and
:LE_1345	0	im:SN_116680003	:CM_GPSurgeryConsultation			and
:LE_1346	0	im:SN_116680003	:CM_OnPremiseEncounter			and
:LE_1347	0	im:SN_116680003	:CM_GPSurgeryConsultation			and
:LE_1348	0	im:SN_116680003	:CM_GPSurgeryConsultation			and
:LE_1349	0	im:SN_116680003	:CM_OnPremiseEncounter			and
:LE_135	0	im:SN_116680003	:CM_GPSurgeryConsultation			and
:LE_1350	0	im:SN_116680003	:CM_OnPremiseEncounter			and
:LE_1351	0	im:SN_116680003	:CM_GPSurgeryConsultation			and
:LE_1352	0	im:SN_116680003	:CM_OnPremiseEncounter			and
:LE_1353	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_1354	0	im:SN_116680003	:CM_OnPremiseEncounter			and
:LE_1355	0	im:SN_116680003	:CM_OnPremiseEncounter			and
:LE_1356	0	im:SN_116680003	:CM_FilingDocEncounter			and
:LE_1357	0	im:SN_116680003	:CM_GPSurgeryConsultation			and
:LE_1358	0	im:SN_116680003	:CM_OnPremiseEncounter			and
:LE_1359	0	im:SN_116680003	:CM_GPSurgeryConsultation			and
:LE_136	0	im:SN_116680003	:CM_TeamMeeting			and
:LE_1360	0	im:SN_116680003	:CM_GPSurgeryConsultation			and
:LE_1361	0	im:SN_116680003	:CM_GPSurgeryConsultation			and
