Concept	Group	Property	Object	min	max	Group operator
:DM_attendanceStatus	0	:SN_116680003	:DM_ObjectProperty			and
:DM_booleanProperty	0	:SN_116680003	:DM_DataProperty			and
:DM_dateTimeProperty	0	:SN_116680003	:DM_DataProperty			and
:DM_displayOrder	0	:SN_116680003	:DM_DataProperty			and
:DM_dmDerivedProperty	0	:SN_116680003	:DM_ObjectProperty			and
:DM_hasActivityTime	0	:SN_116680003	:DM_dateTimeProperty			and
:DM_hasAttendanceOutcome	0	:SN_116680003	:DM_ObjectProperty			and
:DM_hasComponentDate	0	:SN_116680003	:DM_dateTimeProperty			and
:DM_hasCriticalCareUnitFunction	0	:SN_116680003	:DM_ObjectProperty			and
:DM_hasDateOfBirth	0	:SN_116680003	:DM_dateTimeProperty			and
:DM_hasDateTimeOfEntry	0	:SN_116680003	:DM_dateTimeProperty			and
:DM_hasDischargeDestination	0	:SN_116680003	:DM_ObjectProperty			and
:DM_hasDischargeMethod	0	:SN_116680003	:DM_ObjectProperty			and
:DM_hasEffectiveDate	0	:SN_116680003	:DM_dateTimeProperty			and
:DM_hasEndTime	0	:SN_116680003	:DM_dateTimeProperty			and
:DM_hasHeading	0	:SN_116680003	:DM_ObjectProperty			and
:DM_hasIdentifier	0	:SN_116680003	:DM_DataProperty			and
:DM_hasNHSNumber	0	:SN_116680003	:DM_hasIdentifier			and
:DM_hasName	0	:SN_116680003	:DM_DataProperty			and
:DM_hasODSCode	0	:SN_116680003	:DM_hasIdentifier			and
:DM_hasObservationType	0	:SN_116680003	:DM_ObjectProperty			and
:DM_hasOrganisationType	0	:SN_116680003	:DM_ObjectProperty			and
:DM_hasProvenance	0	:SN_116680003	:DM_ObjectProperty			and
:DM_hasType	0	:SN_116680003	:DM_ObjectProperty			and
:DM_id	0	:SN_116680003	:DM_DataProperty			and
:DM_isProvenanceFor	0	:SN_116680003	:DM_ObjectProperty			and
:DM_isRecordOf	0	:SN_116680003	:DM_ObjectProperty			and
:DM_isUnderHeadingOf	0	:SN_116680003	:DM_ObjectProperty			and
:DM_methodOfAdmssion	0	:SN_116680003	:DM_ObjectProperty			and
:DM_sourceOfAdmission	0	:SN_116680003	:DM_ObjectProperty			and
:DM_treatmentFunctionAdmit	0	:SN_116680003	:DM_ObjectProperty			and
:DM_treatmentSpecialty	0	:SN_116680003	:DM_ObjectProperty			and
:DiscoveryCode	0	:SN_116680003	:CM_CodeScheme			and
:EMISLocal	0	:SN_116680003	:CM_CodeScheme			and
:HomertonCernerCode	0	:SN_116680003	:CM_CodeScheme			and
:ICD10	0	:SN_116680003	:CM_CodeScheme			and
:OPCS4	0	:SN_116680003	:CM_CodeScheme			and
:QC_MaternityAdmission	0	:CM_hasCareSetting	:CM_Hospital			and
:QC_MaternityAdmission	0	:CM_isProcess	:CM_Admission			and
:QC_MaternityAdmission	0	:SN_116680003	:QC_QRecordQuery			and
:QC_MaternityAdmission	1	:DM_admissionPatientClassification	:CM_AdmClassMotherBabyDelivery	1	1	and
:QC_MaternityAdmission	1	:DM_methodOfAdmssion	:CM_AdmMetMaternity	1	1	and
:RM_ActedOnBehalfOf	0	:SN_116680003	:RM_Relationship			and
:RM_Relationship	0	:SN_116680003	:DM_ObjectProperty			and
:RM_hasComponent	0	:SN_116680003	:RM_Relationship			and
:RM_hasDataController	0	:SN_116680003	:RM_Relationship			and
:RM_hasSubject	0	:SN_116680003	:RM_Relationship			and
:RM_isComponentOf	0	:SN_116680003	:RM_Relationship			and
:RM_isDataControllerOf	0	:SN_116680003	:RM_Relationship			and
:RM_isSubjectOf	0	:SN_116680003	:RM_Relationship			and
:RM_isSubsectionOf	0	:SN_116680003	:RM_Relationship			and
:RM_partOfEncounter	0	:SN_116680003	:RM_Relationship			and
:RM_resonsiblePractitioner	0	:SN_116680003	:RM_responsibleAgent			and
:RM_responsibleAgent	0	:SN_116680003	:RM_Relationship			and
:RM_used	0	:SN_116680003	:RM_Relationship			and
:RM_wasAssociatedWith	0	:SN_116680003	:RM_Relationship			and
:RM_wasAttributedTo	0	:SN_116680003	:RM_Relationship			and
:RM_wasDerivedFrom	0	:SN_116680003	:RM_Relationship			and
:RM_wasGeneratedBy	0	:SN_116680003	:RM_Relationship			and
:RM_wasUsedBy	0	:SN_116680003	:RM_Relationship			and
:Read2	0	:SN_116680003	:CM_CodeScheme			and
:SN_224930009	0	:SN_116680003	:SN_308913005			and
:SN_2546009	0	:SN_116680003	:SN_308913005			and
:SN_257194007	0	:SN_116680003	:CM_EncounterDevice			and
:SN_308913005	0	:SN_116680003	:CM_ValueTerminology			and
:SN_325931000000109	0	:CM_method	:CM_SN_386053000			and
:SN_325931000000109	0	:SN_116680003	:CM_Consultation			and
:SN_359993007	0	:SN_116680003	:CM_EncounterDevice			and
:SN_721421000000101	0	:SN_116680003	:CM_EncounterDevice			and
:SN_999002981000000107	0	:SN_116680003	:CM_CareAdministration			and
:SN_999002991000000109	0	:SN_116680003	:CM_CareAdministration			and
:Snomed-CT	0	:SN_116680003	:CM_CodeScheme			and
:TPPLocalCode	0	:SN_116680003	:CM_CodeScheme			and
:TermBasedCode	0	:SN_116680003	:CM_CodeScheme			and
:VSET_Covid0	0	:SN_116680003	:VSET_ValueSet			and
:VSET_Covid1	0	:SN_116680003	:VSET_Covid0			and
:VSET_Covid10	0	:SN_116680003	:VSET_Covid0			and
:VSET_Covid2	0	:SN_116680003	:VSET_Covid0			and
:VSET_Covid3	0	:SN_116680003	:VSET_Covid0			and
:VSET_Covid4	0	:SN_116680003	:VSET_Covid0			and
:VSET_Covid5	0	:SN_116680003	:VSET_Covid0			and
:VSET_Covid6	0	:SN_116680003	:VSET_Covid0			and
:VSET_Covid7	0	:SN_116680003	:VSET_Covid0			and
:VSET_Covid8	0	:SN_116680003	:VSET_Covid0			and
:VSET_Covid9	0	:SN_116680003	:VSET_Covid0			and
:VSET_HospitalEncounter1	0	:SN_116680003	:VSET_ValueSets			and
:VSET_HospitalEncounter2	0	:SN_116680003	:VSET_ValueSets			and
:VSET_HospitalEncounter3	0	:SN_116680003	:VSET_ValueSets			and
:VSET_HospitalEncounter4	0	:SN_116680003	:VSET_ValueSets			and
:VSET_HospitalEncounter5	0	:SN_116680003	:VSET_ValueSets			and
:VSET_ValueSets	0	:SN_116680003	:VSET_ValueSet			and
